artifact,before,after,unchanged
input_run_identity,"[{""manifest_sha256"":""3c4201aaf130cdd317cc65138e347331e12938a503c20fa165d0c113f9ddc593"",""run_id"":""run_8e60a7bd388ef9b8d7edb5d4"",""scenario"":""alignment_only"",""window"":""early""},{""manifest_sha256"":""1d5e81d8d86b2bea4fbe76a9cff34c00802199ecf5ae7be270bfd51da3507679"",""run_id"":""run_705a1462342ca73175ba77ec"",""scenario"":""joint_sizing_only"",""window"":""early""},{""manifest_sha256"":""966a251bd9ca7af6c908ce9df3698a8b3c14ddbaf282e1a54b79eaeffee94956"",""run_id"":""run_8fb22fa8b377466cff981b99"",""scenario"":""legacy_reference"",""window"":""early""},{""manifest_sha256"":""f40930c0ce2972333364c831b046152d2f654ba2fa211ced92375427259dd534"",""run_id"":""run_f4151cc97937f3704d77fb14"",""scenario"":""vwap_joint"",""window"":""early""},{""manifest_sha256"":""5058e749d8c81783be6ea409fd96d0427439e558f06697494c4d94c5cc8842c9"",""run_id"":""run_47cc0b884944c31d9695906c"",""scenario"":""vwap_only"",""window"":""early""},{""manifest_sha256"":""84533005de09c507ffdede8b937cd47472398194f784cb132a7708691025e8d9"",""run_id"":""run_497651aa331a8648bf0ed438"",""scenario"":""alignment_only"",""window"":""late""},{""manifest_sha256"":""435b6f2fea50f7181222690f6913d7d034f9291b7723227e4ae6ca52da4bfea9"",""run_id"":""run_60882c5937ce61428a302648"",""scenario"":""joint_sizing_only"",""window"":""late""},{""manifest_sha256"":""1e48f9962e5a7080d7852aeeab596110afd624b716d190efcfc1c11d6ac7d8ab"",""run_id"":""run_0cb21afbec7cdba1e5848df6"",""scenario"":""legacy_reference"",""window"":""late""},{""manifest_sha256"":""bb467224e987e1b379b04164e900aabbab3cc84e50c9c55c0001d3b2daaa943e"",""run_id"":""run_519a165818e2cadce24bc873"",""scenario"":""vwap_joint"",""window"":""late""},{""manifest_sha256"":""b015b8c74dbe28e70f8e9d34b41445503e90b2bc0d01001f7273934d0558814b"",""run_id"":""run_f80270bad77e25b5752e8e30"",""scenario"":""vwap_only"",""window"":""late""}]","[{""manifest_sha256"":""3c4201aaf130cdd317cc65138e347331e12938a503c20fa165d0c113f9ddc593"",""run_id"":""run_8e60a7bd388ef9b8d7edb5d4"",""scenario"":""alignment_only"",""window"":""early""},{""manifest_sha256"":""1d5e81d8d86b2bea4fbe76a9cff34c00802199ecf5ae7be270bfd51da3507679"",""run_id"":""run_705a1462342ca73175ba77ec"",""scenario"":""joint_sizing_only"",""window"":""early""},{""manifest_sha256"":""966a251bd9ca7af6c908ce9df3698a8b3c14ddbaf282e1a54b79eaeffee94956"",""run_id"":""run_8fb22fa8b377466cff981b99"",""scenario"":""legacy_reference"",""window"":""early""},{""manifest_sha256"":""f40930c0ce2972333364c831b046152d2f654ba2fa211ced92375427259dd534"",""run_id"":""run_f4151cc97937f3704d77fb14"",""scenario"":""vwap_joint"",""window"":""early""},{""manifest_sha256"":""5058e749d8c81783be6ea409fd96d0427439e558f06697494c4d94c5cc8842c9"",""run_id"":""run_47cc0b884944c31d9695906c"",""scenario"":""vwap_only"",""window"":""early""},{""manifest_sha256"":""84533005de09c507ffdede8b937cd47472398194f784cb132a7708691025e8d9"",""run_id"":""run_497651aa331a8648bf0ed438"",""scenario"":""alignment_only"",""window"":""late""},{""manifest_sha256"":""435b6f2fea50f7181222690f6913d7d034f9291b7723227e4ae6ca52da4bfea9"",""run_id"":""run_60882c5937ce61428a302648"",""scenario"":""joint_sizing_only"",""window"":""late""},{""manifest_sha256"":""1e48f9962e5a7080d7852aeeab596110afd624b716d190efcfc1c11d6ac7d8ab"",""run_id"":""run_0cb21afbec7cdba1e5848df6"",""scenario"":""legacy_reference"",""window"":""late""},{""manifest_sha256"":""bb467224e987e1b379b04164e900aabbab3cc84e50c9c55c0001d3b2daaa943e"",""run_id"":""run_519a165818e2cadce24bc873"",""scenario"":""vwap_joint"",""window"":""late""},{""manifest_sha256"":""b015b8c74dbe28e70f8e9d34b41445503e90b2bc0d01001f7273934d0558814b"",""run_id"":""run_f80270bad77e25b5752e8e30"",""scenario"":""vwap_only"",""window"":""late""}]",True
diagnostic_quantiles.csv,f208c7687548706de010d008331daefb7e08f30185731ff6dafeded843033b94,f208c7687548706de010d008331daefb7e08f30185731ff6dafeded843033b94,True
diagnostics_summary.csv,c54321eb8d5e35b18ebe17b0d19de83810f42e391246e77b17979952026d29ab,d5dd2d74973751ce200fac4efda49a2cf16bf35317dc1b6ee36cbf1ea736e813,False
execution_revision_report.md,6a22777984ebc8a93d339070d50ba379095539c26ced9b9498c7c48bae3766d2,0625ee69462fb22f031fdff953b7614e09986d1aa3b0e87c0546610a91175508,False
hypotheses_by_window.csv,ffb8d1d5ddf6301bddec00a148bb2abbb56f731bf99b67cde26e9dd0c18f65b5,ffb8d1d5ddf6301bddec00a148bb2abbb56f731bf99b67cde26e9dd0c18f65b5,True
outage_2023-03-24_close_prices.csv,706ee5f45457c1ffdb2d543f06591402a2410cb8a51055a22e6211ec03b7cf14,706ee5f45457c1ffdb2d543f06591402a2410cb8a51055a22e6211ec03b7cf14,True
outage_2023-03-24_fills.csv,c4f5f218a212d4f49e9748854b14cc37f7b6bebdcc83dece80d0a34fc0564c61,c4f5f218a212d4f49e9748854b14cc37f7b6bebdcc83dece80d0a34fc0564c61,True
outage_2023-03-24_funding.csv,81d765f7fe59e7156376f8c47cd41177494f5646c75b06a9b2ac032481aa96cc,81d765f7fe59e7156376f8c47cd41177494f5646c75b06a9b2ac032481aa96cc,True
outage_2023-03-24_ledger.csv,e12b5ab40e5d57ea9bb5f0b30811522395cb9704513dbfdb83dee8779ffbcc17,e12b5ab40e5d57ea9bb5f0b30811522395cb9704513dbfdb83dee8779ffbcc17,True
outage_2023-03-24_orders.csv,52fd7a09cc1bbed6badb92e42c59de69ca2fa4948286b0f617b24c339ed79e74,52fd7a09cc1bbed6badb92e42c59de69ca2fa4948286b0f617b24c339ed79e74,True
