comparator,conditional_sharpe,criterion,early_conditional_cagr,early_valid_days,excluded,hypothesis,late_conditional_cagr,measure,observations,period,permanent_sharpe,result,scenario,strategy,value,window
0.0009827721208583969,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,alignment_only,COMMON,0.0007300562247555909,early
0.020195400317567058,1.7047035915840427,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,2.6814132014777936,contraria,alignment_only,conditional_vs_permanent,0.011181548970869981,early
0.0009827721208583969,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,joint_sizing_only,COMMON,0.0007300562247555909,early
0.035015638615423894,1.7048780012101465,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,2.9637323802164866,contraria,joint_sizing_only,conditional_vs_permanent,0.01118602046702799,early
0.0009827721208583969,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,legacy_reference,COMMON,0.0007300562247555909,early
0.020543965712265022,1.7047035915840427,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,2.795835970380498,contraria,legacy_reference,conditional_vs_permanent,0.011181548970869981,early
0.0009827721208583969,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,vwap_joint,COMMON,0.0007300562247555909,early
0.03343990159715049,1.9181736175616881,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,4.110076292959999,contraria,vwap_joint,conditional_vs_permanent,0.00736363177009669,early
0.0009827721208583969,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,vwap_only,COMMON,0.0007300562247555909,early
0.023343562828674225,1.9206871565642125,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,2.7496025286574253,contraria,vwap_only,conditional_vs_permanent,0.007368913903890162,early
0.0006750831784208901,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,alignment_only,COMMON,0.00043679029460157,late
-0.0020329706168600303,,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,-1.344174683149752,no_concluyente,alignment_only,conditional_vs_permanent,0.0,late
0.0006750831784208901,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,joint_sizing_only,COMMON,0.00043679029460157,late
0.0005896007711332363,,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,1.1654715739651422,no_concluyente,joint_sizing_only,conditional_vs_permanent,0.0,late
0.0006750831784208901,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,legacy_reference,COMMON,0.00043679029460157,late
-0.0020329706168600303,,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,-1.344174683149752,no_concluyente,legacy_reference,conditional_vs_permanent,0.0,late
0.0006750831784208901,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,vwap_joint,COMMON,0.00043679029460157,late
0.0008599006411331711,,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,1.960300143675152,no_concluyente,vwap_joint,conditional_vs_permanent,0.0,late
0.0006750831784208901,,mae_ewma < mae_no_change,,,44,H1,,forecast_mae,2146,full,,favorable,vwap_only,COMMON,0.00043679029460157,late
-0.0010433420996099896,,conditional CAGR > 0 and both Sharpes defined and conditional > permanent,,,,H2,,conditional_cagr_and_relative_sharpe,365,full,-1.415265558225829,no_concluyente,vwap_only,conditional_vs_permanent,0.0,late
0.000016675569236882235,,complete independent 365-day windows; both late opportunity and conditional CAGR < early,0.011181548970869981,365,0/0,H3,0.0,opportunity_mean,365/365,independent_365_day_windows,,favorable,legacy_reference,COMMON,0.0,early_vs_late
0.000016675569236882235,,complete independent 365-day windows; both late opportunity and conditional CAGR < early,0.01118602046702799,365,0/0,H3,0.0,opportunity_mean,365/365,independent_365_day_windows,,favorable,joint_sizing_only,COMMON,0.0,early_vs_late
0.000016672134953650464,,complete independent 365-day windows; both late opportunity and conditional CAGR < early,0.011181548970869981,365,0/0,H3,0.0,opportunity_mean,365/365,independent_365_day_windows,,favorable,alignment_only,COMMON,0.0,early_vs_late
0.000016672134953650464,,complete independent 365-day windows; both late opportunity and conditional CAGR < early,0.007368913903890162,365,0/0,H3,0.0,opportunity_mean,365/365,independent_365_day_windows,,favorable,vwap_only,COMMON,0.0,early_vs_late
0.000016672134953650464,,complete independent 365-day windows; both late opportunity and conditional CAGR < early,0.00736363177009669,365,0/0,H3,0.0,opportunity_mean,365/365,independent_365_day_windows,,favorable,vwap_joint,COMMON,0.0,early_vs_late
